id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha17_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_alpha27_SAEM
157,-0.00558995,-0.000225472,-0.307845,-0.00711115,-0.92329,0.00362629,-64.5478,-0.263084,0,0,0,0,0,0,0,0,0,0,0,0
158,0.0366982,0.00477763,0.737031,-0.0889319,-0.775314,0.0246239,5.87096,3.87959,0,0,0,0,0,0,0,0,0,0,0,0
159,0.0180083,-0.000335035,-0.597007,-0.0205112,-1.00708,-0.000988401,99.7564,0.192286,0,0,0,0,0,0,0,0,0,0,0,0
160,-0.0425956,-0.00425563,0.275153,-0.00414757,-3.13554,0.00208114,-180.015,-2.70796,0,0,0,0,0,0,0,0,0,0,0,0
161,-0.00406614,0.000826257,0.533896,-0.00360018,-0.420279,0.000841487,81.9333,0.484923,0,0,0,0,0,0,0,0,0,0,0,0
162,0.0110328,0.00558424,-0.0745042,0.076505,0.0330916,0.0106858,-88.1306,-2.61224,0,0,0,0,0,0,0,0,0,0,0,0
163,-0.0162725,-0.00590599,-0.631111,0.189335,-2.04454,-0.178387,87.261,-0.344605,0,0,0,0,0,0,0,0,0,0,0,0
164,0.0134806,0.000155027,-1.321,0.0225111,-1.83948,0.0318296,-161.981,-2.41451,0,0,0,0,0,0,0,0,0,0,0,0
165,-0.0282965,-0.00513303,0.413717,-0.0408147,-0.405779,0.020008,-107.951,2.27907,0,0,0,0,0,0,0,0,0,0,0,0
166,0.00206804,-0.00408807,-2.02005,-0.0602277,1.96724,0.0442517,-81.1474,-1.81666,0,0,0,0,0,0,0,0,0,0,0,0
167,-0.0185048,-0.000836458,0.770401,0.0103775,1.56943,-0.0190636,98.6373,0.629772,0,0,0,0,0,0,0,0,0,0,0,0
168,-0.00558233,0.00063589,0.385659,-0.00539881,-0.183027,0.00219629,-131.338,0.247935,0,0,0,0,0,0,0,0,0,0,0,0
169,0.0389906,0.00460123,0.701125,-0.302911,3.77418,0.0370148,146.418,11.0708,0,0,0,0,0,0,0,0,0,0,0,0
170,-0.0190291,-0.00094343,0.27861,0.0408402,0.0892634,-0.020382,29.6216,1.17269,0,0,0,0,0,0,0,0,0,0,0,0
171,0.00634266,-0.000855028,0.694449,0.0819927,-1.26261,-0.00536562,116.878,-1.62801,0,0,0,0,0,0,0,0,0,0,0,0
