rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha17,eta_alpha22,eta_alpha23,eta_alpha27
1,40,0.0596416252578233,0.00252047673519486,0.0542223068940295,-0.107439573334714,9.42995857523516,-6.27055092613475,0,0,0,0,0,0,0,0,0,0
2,40,0.0626208348169488,0.00540323671814173,0.267758824550183,-0.0340978869635522,-31.858326619557,3.38119810418026,0,0,0,0,0,0,0,0,0,0
3,40,0.0452051575037054,0.00702209973091234,0.593159638793277,-0.064066381131553,-74.5834317774626,-2.79646534153653,0,0,0,0,0,0,0,0,0,0
1,41,0.0299790896948924,0.000695936758962565,-0.597369208455758,0.058679895994367,121.817537171799,3.05187204447988,0,0,0,0,0,0,0,0,0,0
2,41,0.00875278521666178,-0.000634796742681023,1.35857436285135,-0.304245780915567,59.3176103389787,8.66333091074814,0,0,0,0,0,0,0,0,0,0
3,41,-0.0250283203229635,0.000566646931332776,0.147092074186575,-0.116892938768694,149.651850583858,3.60222407555746,0,0,0,0,0,0,0,0,0,0
1,42,-0.026846404458932,-0.000735759107920422,-0.208158867043092,0.117365059260043,-108.402951121625,-1.79705308366147,0,0,0,0,0,0,0,0,0,0
2,42,-0.0357168830003012,-0.00866235215449185,-0.126673739926298,0.129853293651695,-14.169021116106,-11.7963217611366,0,0,0,0,0,0,0,0,0,0
3,42,-0.0240257953172227,0.000531973872499821,0.0483706782739457,0.046966246904437,-106.728972182703,-1.2415053112904,0,0,0,0,0,0,0,0,0,0
1,43,-0.0114785539118714,0.00185706413460991,-0.698442448549889,-0.00969734537890554,-48.897530175364,3.8255798808841,0,0,0,0,0,0,0,0,0,0
2,43,0.00628067272231547,-0.000706230608582779,-0.95897364401817,0.0347522388220206,-6.24862244654668,3.92045744916566,0,0,0,0,0,0,0,0,0,0
3,43,0.0110979438904941,-0.00036803023478504,-0.698909727159312,0.0266063971056044,-16.4094126505933,4.20252104849594,0,0,0,0,0,0,0,0,0,0
1,44,0.045408824290984,0.00429573577859708,0.892695994757292,0.24956561719927,-52.1395202236396,-2.27904317853187,0,0,0,0,0,0,0,0,0,0
2,44,0.0234781993732129,0.000151544402781667,0.797440819454369,0.331098025669863,-25.5819839585079,7.53230392419946,0,0,0,0,0,0,0,0,0,0
3,44,0.0274362083331541,-0.00252953764647896,1.63924450861365,-0.0414129466520329,-7.94976087976011,2.47513141383177,0,0,0,0,0,0,0,0,0,0
1,45,-0.00273018796209623,0.00201001000826353,0.380801595278121,-0.0817754317822157,58.8683915256465,0.600708940394044,0,0,0,0,0,0,0,0,0,0
2,45,0.0100882113521141,-0.00107582934211397,-0.471392995592569,0.0436339076784853,63.9917522673915,-1.45580153962629,0,0,0,0,0,0,0,0,0,0
3,45,0.0349872336471542,-0.00580940371468853,-0.242326649341399,0.0410130685895444,39.503946162475,2.45226354076922,0,0,0,0,0,0,0,0,0,0
1,46,0.030946944651852,-0.0120948850503675,0.0319059012611973,-0.147600689213424,-49.144386897034,-10.6011149891746,0,0,0,0,0,0,0,0,0,0
2,46,0.0416712899344347,-0.00151687862569112,0.29714273671016,-0.149771993855696,-38.4467799768807,0.0810035520941845,0,0,0,0,0,0,0,0,0,0
3,46,0.047780141458265,0.00239448141309484,-0.195579571818046,-0.117817694355075,264.737941561499,-2.87513916688565,0,0,0,0,0,0,0,0,0,0
1,47,0.000895385354910516,-0.00237246091141061,0.0216463652135719,-0.0786656514116553,-197.28023174856,4.43573296580323,0,0,0,0,0,0,0,0,0,0
2,47,-0.0172759146800177,0.00209998107614068,-0.158055155608191,-0.164114484912646,-177.52841893723,2.26997821333226,0,0,0,0,0,0,0,0,0,0
3,47,0.0220568812286688,-0.00337348931433365,0.251383817019759,-0.16494136022496,-212.211121531933,9.71988257052396,0,0,0,0,0,0,0,0,0,0
1,48,-0.0356220565693759,-0.00644164445919592,0.0357369900447138,-0.142287152151155,-33.4110118667724,-0.21851794947005,0,0,0,0,0,0,0,0,0,0
2,48,-0.0504805932989116,0.0028143583222451,0.494631801597329,0.139258522771331,100.153849356273,2.11181554015148,0,0,0,0,0,0,0,0,0,0
3,48,-0.0546914826156577,-0.000332022924938136,0.271013562848266,-0.324144938879076,-93.3236174062488,-8.97056742070845,0,0,0,0,0,0,0,0,0,0
1,49,-0.00345128383777293,-1.9311583120173e-05,0.732083713843869,-0.0645460977251652,83.6139857052122,-4.80138164906924,0,0,0,0,0,0,0,0,0,0
2,49,-0.0291571385660321,0.000609664212058141,0.694652088509487,-0.0183551423371338,45.2310110637365,1.35251231612228,0,0,0,0,0,0,0,0,0,0
3,49,0.0144723358151087,-0.00148836982687679,0.494156031921207,0.00038017828166817,41.216199485207,0.119719250765174,0,0,0,0,0,0,0,0,0,0
1,50,-0.0499694273738962,0.0040300287410374,1.43151044028969,0.239007454269617,-90.6928318698374,-8.50358287163521,0,0,0,0,0,0,0,0,0,0
2,50,-0.0285834247856815,-0.00474595567066101,1.7627375122709,0.0833502692858277,-42.0251208594849,-2.90559972495011,0,0,0,0,0,0,0,0,0,0
3,50,-0.0494037949917585,0.00294581491852815,0.372324878918881,-0.0244663480913175,-149.798492440614,-0.157799514914434,0,0,0,0,0,0,0,0,0,0
1,51,0.0590475281357916,0.00152278992239438,-0.00966616548591315,-0.0420472012574553,-123.502560081601,-5.5605176587832,0,0,0,0,0,0,0,0,0,0
2,51,0.0445226704202861,0.00147147271095666,0.440033948131066,-0.0376392201947016,-138.495958898939,3.83272520407095,0,0,0,0,0,0,0,0,0,0
